system,facility,carrier,code,code_type,setting,billing_class,hospital_plan,payer_plan,hospital_rate,payer_rate,difference,ratio,relative_difference,is_implausible,hospital_vintage,payer_vintage,notes,hospital_slug
NYU Langone,NYU Langone|Long Island,Cigna,90870,CPT,both,,CIGNA PPO 1047,NationalPPO,6487.0,690.0,-5797.0,0.1063665793124711,8.40144927536232,False,2026-01-01,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,nyu-langone-health
NYU Langone,NYU Langone|Long Island,Cigna,95851,CPT,both,,CIGNA GREAT WEST PPO 1442,NationalPPO,393.0,44.38,-348.62,0.1129262086513995,7.855340243352861,False,2026-01-01,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,nyu-langone-health
NYU Langone,NYU Langone|Long Island,Cigna,95851,CPT,both,,CIGNA PPO 1047,NationalPPO,393.0,44.38,-348.62,0.1129262086513995,7.855340243352861,False,2026-01-01,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,nyu-langone-health
NYU Langone,NYU Langone|Long Island,UnitedHealthcare,59430,CPT,both,,UNITED HEALTHCARE EPO (SUNSET PARK EMPLOYEES) 4206,ChoiceEPO,1366.09,150.0,-1216.09,0.10980242882972573,8.107266666666666,False,2026-01-01,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,nyu-langone-health
NYU Langone,NYU Langone|Long Island,UnitedHealthcare,59430,CPT,both,,UNITED HEALTHCARE EPO (SUNSET PARK EMPLOYEES) 4206,SelectEPO,1366.09,150.0,-1216.09,0.10980242882972573,8.107266666666666,False,2026-01-01,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,nyu-langone-health
NYU Langone,NYU Langone|Long Island,UnitedHealthcare,59430,CPT,both,,UNITED HEALTHCARE EPO 1155,ChoiceEPO,1366.09,150.0,-1216.09,0.10980242882972573,8.107266666666666,False,2026-01-01,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,nyu-langone-health
NYU Langone,NYU Langone|Long Island,UnitedHealthcare,59430,CPT,both,,UNITED HEALTHCARE EPO 1155,SelectEPO,1366.09,150.0,-1216.09,0.10980242882972573,8.107266666666666,False,2026-01-01,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,nyu-langone-health
NYU Langone,NYU Langone|Orthopedic Hospital,Aetna,33244,CPT,both,,AETNA EPO (AMEX EMPLOYEES) 3993,Epo,66956.0,6731.02,-60224.979999999996,0.10052900412211005,8.94737796054684,False,2026-01-01,2026-08-05,hospital billing class unstated; assumed facility because this system publishes no professional rates,nyu-langone-health
NYU Langone,NYU Langone|Orthopedic Hospital,Aetna,33244,CPT,both,,AETNA EPO (SUNSET PARK EMPLOYEES) 4208,Epo,66956.0,6731.02,-60224.979999999996,0.10052900412211005,8.94737796054684,False,2026-01-01,2026-08-05,hospital billing class unstated; assumed facility because this system publishes no professional rates,nyu-langone-health
NYU Langone,NYU Langone|Orthopedic Hospital,Aetna,33244,CPT,both,,AETNA PPO 1010,Ppo,66956.0,6731.02,-60224.979999999996,0.10052900412211005,8.94737796054684,False,2026-01-01,2026-08-05,hospital billing class unstated; assumed facility because this system publishes no professional rates,nyu-langone-health
NYU Langone,NYU Langone|Orthopedic Hospital,Aetna,33244,CPT,both,,AETNA SIGNATURE ADMINISTRATORS PPO 1417,Ppo,66956.0,6731.02,-60224.979999999996,0.10052900412211005,8.94737796054684,False,2026-01-01,2026-08-05,hospital billing class unstated; assumed facility because this system publishes no professional rates,nyu-langone-health
NYU Langone,NYU Langone|Orthopedic Hospital,Aetna,69200,CPT,both,,AETNA PPO 1010,Ppo,14113.0,1446.33,-12666.67,0.10248210869411181,8.75780077852219,False,2026-01-01,2026-08-05,hospital billing class unstated; assumed facility because this system publishes no professional rates,nyu-langone-health
NYU Langone,NYU Langone|Orthopedic Hospital,Cigna,31242,CPT,both,,CIGNA GREAT WEST PPO 1442,NationalPPO,6487.0,44062.0,37575.0,6.7923539386465235,5.7923539386465235,False,2026-01-01,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,nyu-langone-health
NYU Langone,NYU Langone|Orthopedic Hospital,Cigna,31242,CPT,both,,CIGNA PPO 1047,NationalPPO,6487.0,44062.0,37575.0,6.7923539386465235,5.7923539386465235,False,2026-01-01,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,nyu-langone-health
NYU Langone,NYU Langone|Orthopedic Hospital,Cigna,90870,CPT,both,,CIGNA GREAT WEST PPO 1442,NationalPPO,6487.0,690.0,-5797.0,0.1063665793124711,8.40144927536232,False,2026-01-01,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,nyu-langone-health
NYU Langone,NYU Langone|Orthopedic Hospital,Cigna,90870,CPT,both,,CIGNA LOCALPLUS 4193,LocalPlus,6487.0,690.0,-5797.0,0.1063665793124711,8.40144927536232,False,2026-01-01,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,nyu-langone-health
NYU Langone,NYU Langone|Orthopedic Hospital,Cigna,90870,CPT,both,,CIGNA PPO 1047,NationalPPO,6487.0,690.0,-5797.0,0.1063665793124711,8.40144927536232,False,2026-01-01,2026-08-01,hospital billing class unstated; assumed facility because this system publishes no professional rates,nyu-langone-health
